ID,RelationshipPerception,GenderOwner,OwnerAge,Education,CatProf,PresenceOtherCats,NumOfCats,NumCats4,PresencePeople,Adults,Pedigree,CatBreed,AdoptionAge,CatAge,Kitten,Neutered,FirstCat,CatGender,Loyalty,Support,Purpose,Empathy,Company,Equality,Dependency,Lap,Stroke,PickUp,Bedroom,SleepBed,Outdoor,OutdoorHow,OutdoorWhere,Absence
4,Just a pet animal,Female,56,intermediate,No,Multiple cat household,4,More than 3 cats in household,No,1,Yes,Birmaan,3 - 6 months,10 - 15 years,No,Yes,No,Female cat,5,neutral,agree,totally disagree,neutral,totally agree,disagree,Yes,Yes Often / (Almost) Always,Yes Often / (Almost) Always,Yes,Yes,Yes,Through a cat ﬂap that is always open,Balcony,Never away for multiple days
10,Part of my family,Female,50,high,No,Multiple cat household,4,More than 3 cats in household,Yes,2,Yes,Other breed,3 - 6 months,< 5 years,No,No,No,Female cat,3,disagree,disagree,neutral,totally agree,disagree,disagree,No,Yes Often / (Almost) Always,Yes Often / (Almost) Always,No,No access to bedroom,Yes,Through a cat ﬂap that is closed sometimes,Catio,Never away for multiple days
25,Part of my family,Female,45,intermediate,Yes,Multiple cat household,7,More than 3 cats in household,Yes,3,Yes,Other breed,3 - 6 months,< 5 years,No,No,No,Female cat,4,agree,neutral,neutral,agree,agree,agree,Yes,Yes Often / (Almost) Always,Yes Often / (Almost) Always,Yes,Yes,Yes,When someone opens the door,Fenced Garden / Yard,Friends / Neighbours
30,Part of my family,Female,60,low,Yes,Multiple cat household,10,More than 3 cats in household,Yes,> 5,Yes,Britse korthaar,3 - 6 months,5 - 10 years,No,No,No,Male cat,2,totally agree,neutral,agree,totally agree,disagree,disagree,Yes,Yes Often / (Almost) Always,Yes Often / (Almost) Always,No,No access to bedroom,Yes,Through a cat ﬂap that is always open,Catio,Paid sitter at home
44,Part of my family,Female,70,low,No,Multiple cat household,4,More than 3 cats in household,Yes,3,Yes,Ragdoll,< 3 months,< 5 years,Yes,Yes,No,Male cat,3,agree,neutral,neutral,agree,agree,neutral,No,Yes Often / (Almost) Always,Yes Often / (Almost) Always,Yes,Yes,Yes,When someone opens the door,Fenced Garden / Yard,Friends / Neighbours
57,Part of my family,Female,35,intermediate,No,Multiple cat household,4,More than 3 cats in household,Yes,2,Yes,Siamees,3 - 6 months,5 - 10 years,No,Yes,No,Male cat,5,totally agree,agree,agree,totally agree,disagree,agree,Yes,Yes Often / (Almost) Always,Yes Often / (Almost) Always,No,No access to bedroom,Yes,When someone opens the door,Balcony,Friends / Neighbours
68,Part of my family,Female,43,intermediate,No,Multiple cat household,4,More than 3 cats in household,Yes,2,Yes,Other breed,3 - 6 months,5 - 10 years,No,Yes,No,Male cat,3,agree,disagree,agree,totally agree,disagree,totally agree,Yes,Yes Often / (Almost) Always,Yes Often / (Almost) Always,No,No access to bedroom,Yes,Through a cat ﬂap that is closed sometimes,Catio,Friends / Neighbours
84,Part of my family,Female,65,low,No,Multiple cat household,10,More than 3 cats in household,No,1,Yes,Other breed,> 6 months,5 - 10 years,No,Yes,No,Male cat,5,agree,agree,neutral,totally agree,agree,totally agree,Yes,Yes Often / (Almost) Always,Never / Sometimes,No,No access to bedroom,Yes,Through a cat ﬂap that is always open,Catio,Friends / Neighbours
93,Part of my family,Female,37,intermediate,No,Multiple cat household,6,More than 3 cats in household,Yes,4,Yes,Other breed,< 3 months,5 - 10 years,Yes,Yes,No,Female cat,3,agree,disagree,agree,totally agree,disagree,neutral,Yes,Yes Often / (Almost) Always,Never / Sometimes,Yes,No,Yes,When someone opens the door,Everywhere,Friends / Neighbours
101,Part of my family,Female,55,high,No,Multiple cat household,8,More than 3 cats in household,Yes,2,Yes,Other breed,< 3 months,5 - 10 years,Yes,Yes,No,Male cat,2,agree,agree,agree,totally agree,disagree,neutral,No,Yes Often / (Almost) Always,Yes Often / (Almost) Always,No,No access to bedroom,Yes,Through a cat ﬂap that is always open,Fenced Garden / Yard,"Combination of  1, 2 and/or 3"
